Entity,Life expectancy - Sex: all - Age: 0 - Variant: estimates,Cantril ladder score
Afghanistan,66.035,1.721
Albania,79.602,5.3042
Algeria,76.261,5.3635
American Samoa,72.852,
Andorra,84.041,
Angola,64.617,
Anguilla,79.311,
Antigua and Barbuda,77.598,
Argentina,77.395,6.1881
Armenia,75.683,5.4549
Aruba,76.353,
Australia,83.923,7.0569
Austria,81.956,6.9047
Azerbaijan,74.429,4.8934
Bahamas,74.552,
Bahrain,81.284,5.9591
Bangladesh,74.672,3.8859
Barbados,76.178,
Belarus,74.434,
Belgium,82.115,6.8942
Belize,73.566,
Benin,60.774,4.3774
Bermuda,82.309,
Bhutan,72.975,
Bolivia,68.581,5.7843
Bonaire Sint Eustatius and Saba,77.436,
Bosnia and Herzegovina,77.85,5.877
Botswana,69.163,3.3834
Brazil,75.848,6.272
British Virgin Islands,77.276,
Brunei,75.327,
Bulgaria,75.636,5.4627
Burkina Faso,61.092,4.548
Burundi,63.651,
Cambodia,70.668,4.3407
Cameroon,63.7,4.8744
Canada,82.63,6.8996
Cape Verde,76.059,
Cayman Islands,80.358,
Central African Republic,57.408,
Chad,55.069,4.4713
Chile,81.167,6.3603
China,77.953,5.9727
Colombia,77.725,5.6951
Comoros,66.777,3.5663
Congo,65.772,5.2215
Cook Islands,75.282,
Costa Rica,80.799,6.9554
Cote d'Ivoire,61.944,5.0801
Croatia,78.58,5.9423
Cuba,78.085,
Curacao,76.8,
Cyprus,81.648,6.0681
Czechia,79.834,6.8218
Democratic Republic of Congo,61.895,3.2954
Denmark,81.933,7.5827
Djibouti,65.987,
Dominica,71.132,
Dominican Republic,73.72,5.8228
East Timor,67.689,
Ecuador,77.392,5.7245
Egypt,71.633,3.9766
El Salvador,72.099,6.4687
Equatorial Guinea,63.707,
Eritrea,68.624,
Estonia,79.153,6.4477
Eswatini,64.123,3.502
Ethiopia,67.315,3.8609
Falkland Islands,79.213,
Faroe Islands,80.179,
Fiji,67.316,
Finland,81.91,7.7407
France,83.325,6.609
French Guiana,76.978,
French Polynesia,84.07,
Gabon,68.337,5.1063
Gambia,65.86,4.4849
Georgia,74.496,5.1847
Germany,81.378,6.7185
Ghana,65.498,4.2894
Gibraltar,83.553,
Greece,81.857,5.9336
Greenland,70.055,
Grenada,75.205,
Guadeloupe,82.05,
Guam,77.209,
Guatemala,72.602,6.287
Guernsey,83.274,
Guinea,60.74,5.0233
Guinea-Bissau,64.085,
Guyana,70.18,
Haiti,64.936,
Honduras,72.884,5.9684
Hong Kong,85.511,5.3164
Hungary,77.024,6.0169
Iceland,82.691,7.5251
India,72.003,4.0541
Indonesia,71.146,5.5683
Iran,77.654,4.9228
Iraq,72.324,5.166
Ireland,82.412,6.838
Isle of Man,80.999,
Israel,82.408,7.3411
Italy,83.716,6.3235
Jamaica,71.479,5.8417
Japan,84.712,6.0598
Jersey,79.707,
Jordan,77.814,4.1858
Kazakhstan,74.402,6.1875
Kenya,63.646,4.4696
Kiribati,66.473,
Kosovo,78.033,6.561
Kuwait,80.405,6.9514
Kyrgyzstan,71.677,5.7135
Laos,68.964,5.1389
Latvia,76.19,6.2345
Lebanon,77.817,2.7065
Lesotho,57.375,3.1862
Liberia,62.163,4.2686
Libya,69.339,5.8663
Liechtenstein,83.63,
Lithuania,76.025,6.8175
Luxembourg,82.229,7.1219
Macao,83.075,
Madagascar,63.632,4.2279
Malawi,67.353,3.421
Malaysia,76.657,5.9752
Maldives,81.041,
Mali,60.439,4.232
Malta,83.299,6.3458
Marshall Islands,66.945,
Martinique,82.565,
Mauritania,68.484,4.5051
Mauritius,74.926,5.8164
Mayotte,76.054,
Mexico,75.069,6.678
Micronesia (country),67.198,
Moldova,71.198,5.8159
Monaco,86.372,
Mongolia,71.734,5.6962
Montenegro,77.087,5.707
Montserrat,76.186,
Morocco,75.313,4.7947
Mozambique,63.611,5.2164
Myanmar,66.889,4.3545
Namibia,67.385,4.8317
Nauru,62.109,
Nepal,70.354,5.1584
Netherlands,82.158,7.3194
New Caledonia,78.766,
New Zealand,82.088,7.0292
Nicaragua,74.947,6.2839
Niger,61.183,4.5563
Nigeria,54.462,4.8808
Niue,69.978,
North Korea,73.642,
North Macedonia,77.395,5.3691
Northern Mariana Islands,78.808,
Norway,83.308,7.3017
Oman,80.031,
Pakistan,67.649,4.6567
Palau,69.269,
Palestine,65.17,4.8795
Panama,79.594,6.3582
Papua New Guinea,66.134,
Paraguay,73.844,5.9765
Peru,77.74,5.8409
Philippines,69.833,6.0476
Poland,78.633,6.4415
Portugal,82.36,6.0296
Puerto Rico,81.69,
Qatar,82.368,
Reunion,83.547,
Romania,75.938,6.4912
Russia,73.154,5.7853
Rwanda,67.785,
Saint Barthelemy,84.29,
Saint Helena,76.787,
Saint Kitts and Nevis,72.145,
Saint Lucia,72.697,
Saint Martin (French part),80.224,
Saint Pierre and Miquelon,76.758,
Saint Vincent and the Grenadines,71.23,
Samoa,71.698,
San Marino,85.706,
Sao Tome and Principe,69.718,
Saudi Arabia,78.732,6.5935
Senegal,68.683,4.9686
Serbia,76.769,6.4108
Seychelles,72.862,
Sierra Leone,61.786,3.2452
Singapore,83.736,6.5228
Sint Maarten (Dutch part),76.371,
Slovakia,78.341,6.2571
Slovenia,81.603,6.7433
Solomon Islands,70.528,
Somalia,58.816,
South Africa,66.139,5.422
South Korea,84.329,6.0579
South Sudan,57.617,
Spain,83.67,6.4209
Sri Lanka,77.483,3.8981
Sudan,66.331,
Suriname,73.631,
Svalbard and Jan Mayen,,
Sweden,83.262,7.3441
Switzerland,83.954,7.0602
Syria,72.12,
Taiwan,80.559,6.5035
Tajikistan,71.79,5.2807
Tanzania,66.995,3.7806
Thailand,76.412,5.9761
Togo,62.739,4.2141
Tokelau,77.051,
Tonga,72.895,
Trinidad and Tobago,73.49,
Tunisia,76.508,4.4218
Turkey,77.156,4.9753
Turkmenistan,70.073,
Turks and Caicos Islands,78.008,
Tuvalu,67.105,
Uganda,68.252,4.3717
Ukraine,73.422,4.873
United Arab Emirates,82.909,6.7331
United Kingdom,81.302,6.749
United States,79.304,6.7248
United States Virgin Islands,75.472,
Uruguay,78.138,6.6115
Uzbekistan,72.388,6.195
Vanuatu,71.477,
Vatican,82.985,
Venezuela,72.514,5.6067
Vietnam,74.588,6.043
Wallis and Futuna,78.629,
Western Sahara,71.385,
World,73.169,5.266165
Yemen,69.295,3.561
Zambia,66.349,3.5024
Zimbabwe,62.775,3.3411
